CustomerID,SimilarCustomers
C0001,"[('C0135', 0.9988906060990247), ('C0092', 0.9984804324524524), ('C0085', 0.9957175910748669)]"
C0002,"[('C0029', 0.9998501691627888), ('C0077', 0.9958951618516075), ('C0157', 0.9952987247900796)]"
C0003,"[('C0111', 0.9987135659533447), ('C0190', 0.9958326787515313), ('C0038', 0.9894285881729177)]"
C0004,"[('C0165', 0.9982215400873512), ('C0162', 0.9979217801509803), ('C0075', 0.9968180373404781)]"
C0005,"[('C0167', 0.9999745104661253), ('C0020', 0.9997464179787114), ('C0128', 0.9987076575225469)]"
C0006,"[('C0168', 0.9980204782883809), ('C0196', 0.9954421565049777), ('C0187', 0.9944493364789593)]"
C0007,"[('C0125', 0.999915189711417), ('C0089', 0.9982699729142873), ('C0085', 0.9959368278047785)]"
C0008,"[('C0084', 0.9961032994555746), ('C0113', 0.9959517012878036), ('C0017', 0.9932655818884806)]"
C0009,"[('C0130', 0.9999592690544816), ('C0128', 0.9986532180739148), ('C0192', 0.9984645724439801)]"
C0010,"[('C0176', 0.9994943208183413), ('C0055', 0.9941455277902663), ('C0174', 0.9930764269605726)]"
C0011,"[('C0023', 0.99861016145421), ('C0139', 0.9870503652773356), ('C0100', 0.9853157705434682)]"
C0012,"[('C0101', 0.9999575717935717), ('C0093', 0.9996454156878266), ('C0065', 0.9995909759061252)]"
C0013,"[('C0021', 0.9997112956520859), ('C0059', 0.9977039852138542), ('C0141', 0.9975078051185516)]"
C0014,"[('C0097', 0.9987081279076839), ('C0043', 0.9969773687620024), ('C0032', 0.9961326331351282)]"
C0015,"[('C0058', 0.9990091759770792), ('C0186', 0.9948648124781666), ('C0191', 0.9936433902751044)]"
C0016,"[('C0040', 0.9996927787291257), ('C0107', 0.9980151098737139), ('C0066', 0.9978550588699437)]"
C0017,"[('C0113', 0.9996553922083172), ('C0084', 0.9950467721201252), ('C0008', 0.9932655818884806)]"
C0018,"[('C0041', 0.9952050443582928), ('C0068', 0.9941287278005968), ('C0004', 0.9899319355277253)]"
C0019,"[('C0166', 0.9971270899511686), ('C0031', 0.9937914520175695), ('C0088', 0.9875115153022233)]"
C0020,"[('C0005', 0.9997464179787114), ('C0128', 0.9995728440435195), ('C0167', 0.9995636077574238)]"
